"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Clgn",0,5.83543307258485,0.946,0.026,0,"0","Clgn"
"Adcy3",0,7.0861193823084,0.937,0.019,0,"0","Adcy3"
"1700012B09Rik",0,6.01453379251024,0.965,0.049,0,"0","1700012B09Rik"
"Umodl1",0,7.22988360721029,0.922,0.013,0,"0","Umodl1"
"Ctxn3",0,6.34621558590184,0.923,0.017,0,"0","Ctxn3"
"Ric8b",0,6.6177236482455,0.926,0.022,0,"0","Ric8b"
"Syt1",0,6.06778814462541,0.92,0.022,0,"0","Syt1"
"Plekhb1",0,5.32672862713565,0.973,0.078,0,"0","Plekhb1"
"Acbd7",0,6.29999987096071,0.904,0.018,0,"0","Acbd7"
"Flrt1",0,5.18647991871289,0.928,0.042,0,"0","Flrt1"
"Cntn4",0,5.28908144742537,0.909,0.024,0,"0","Cntn4"
"Aplp1",0,4.81443453674837,0.98,0.096,0,"0","Aplp1"
"Nrn1l",0,7.14221771465689,0.894,0.011,0,"0","Nrn1l"
"Scn9a",0,4.85260385283554,0.966,0.085,0,"0","Scn9a"
"Pcolce2",0,6.04027702151329,0.908,0.027,0,"0","Pcolce2"
"Dcdc2a",0,5.98101377449091,0.933,0.053,0,"0","Dcdc2a"
"Jakmip1",0,5.59474882864711,0.914,0.035,0,"0","Jakmip1"
"Spef2",0,6.36280120091298,0.893,0.018,0,"0","Spef2"
"Elavl3",0,4.20636469353139,0.917,0.047,0,"0","Elavl3"
"Cnga2",0,6.93223944926301,0.876,0.012,0,"0","Cnga2"
"Uchl1",0,3.94315877415885,0.916,0.059,0,"0","Uchl1"
"Tmem74bos",0,6.3616835897206,0.865,0.014,0,"0","Tmem74bos"
"Faim2",0,6.9765084494997,0.861,0.011,0,"0","Faim2"
"Ebf2",0,3.95734018367543,0.894,0.045,0,"0","Ebf2"
"Tspan7",0,5.27068928260778,0.877,0.044,0,"0","Tspan7"
"Tom1",0,5.51671645578053,0.859,0.033,0,"0","Tom1"
"Ttll7",0,4.47749240072986,0.984,0.16,0,"0","Ttll7"
"Fgf12",0,6.08063625733484,0.836,0.017,0,"0","Fgf12"
"Ak1",0,5.66639209935997,0.845,0.027,0,"0","Ak1"
"Cfap69",0,6.17892757758355,0.837,0.019,0,"0","Cfap69"
"Igsf8",0,4.06922187538576,0.91,0.097,0,"0","Igsf8"
"Tspyl4",0,5.09987753518518,0.845,0.038,0,"0","Tspyl4"
"Stom",0,4.93079921629321,0.993,0.187,0,"0","Stom"
"Nrxn1",0,4.21273549798747,0.883,0.08,0,"0","Nrxn1"
"Rufy3",0,4.25240520202269,0.867,0.071,0,"0","Rufy3"
"Fetub",0,3.80145176447956,0.859,0.072,0,"0","Fetub"
"Serpine2",0,3.82068505183109,0.975,0.188,0,"0","Serpine2"
"Pde6d",0,4.39590547052411,0.856,0.072,0,"0","Pde6d"
"Rtn1",0,4.13150028435255,0.95,0.166,0,"0","Rtn1"
"Syt11",0,4.22152051337896,0.841,0.058,0,"0","Syt11"
"Prxl2b",0,4.31844195025197,0.979,0.196,0,"0","Prxl2b"
"Tesc",0,3.16336114684928,0.853,0.072,0,"0","Tesc"
"Pde4a",0,5.50154527229118,0.812,0.031,0,"0","Pde4a"
"Stmn3",0,3.89346195375584,0.814,0.035,0,"0","Stmn3"
"Ncam1",0,3.48396895237779,0.977,0.203,0,"0","Ncam1"
"Olfm1",0,4.7163678167403,0.991,0.218,0,"0","Olfm1"
"Trnp1",0,4.77976569637264,0.803,0.035,0,"0","Trnp1"
"Fam81b",0,6.68119872695096,0.778,0.01,0,"0","Fam81b"
"Lhx2",0,3.24877416283266,0.801,0.036,0,"0","Lhx2"
"Kcnc4",0,7.31206366439117,0.773,0.008,0,"0","Kcnc4"
