"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"S100a9",0,6.96259632053866,0.945,0.027,0,"S100a9"
"S100a8",0,6.75303627358688,0.942,0.026,0,"S100a8"
"Tyrobp",0,2.78236785346074,0.997,0.261,0,"Tyrobp"
"Mmp9",0,8.12977822054062,0.731,0.007,0,"Mmp9"
"Fcer1g",0,1.8519227817375,0.971,0.256,0,"Fcer1g"
"Cxcr2",0,9.51308279260165,0.714,0.004,0,"Cxcr2"
"Alox5ap",0,3.05884296677804,0.875,0.17,0,"Alox5ap"
"Mxd1",0,4.56349732622607,0.803,0.114,0,"Mxd1"
"Hp",0,4.23050476686268,0.759,0.082,0,"Hp"
"Msrb1",0,3.92932390601982,0.856,0.186,0,"Msrb1"
"Ncf1",0,3.95465814908119,0.789,0.121,0,"Ncf1"
"Hdc",0,5.2188879580101,0.744,0.081,0,"Hdc"
"Il1b",0,4.26853265850816,0.826,0.171,0,"Il1b"
"Pglyrp1",0,1.87356635295517,0.754,0.107,0,"Pglyrp1"
"Trem1",0,7.03095900461172,0.658,0.016,0,"Trem1"
"G0s2",0,6.20406229669974,0.697,0.066,0,"G0s2"
"Retnlg",0,11.5340382607064,0.623,0.006,0,"Retnlg"
"Slpi",0,6.21241466468974,0.646,0.03,0,"Slpi"
"Ptprc",0,2.19492331519055,0.923,0.317,0,"Ptprc"
"Clec4e",0,5.7521340285607,0.635,0.03,0,"Clec4e"
"Rac2",0,2.51795010455832,0.851,0.247,0,"Rac2"
"Lst1",0,2.71600705931158,0.763,0.161,0,"Lst1"
"Lcp1",0,2.70111707503245,0.927,0.334,0,"Lcp1"
"Pygl",0,5.08987695948716,0.635,0.044,0,"Pygl"
"Gmfg",0,2.73567675519425,0.807,0.22,0,"Gmfg"
"Gsr",0,3.40447378943671,0.783,0.198,0,"Gsr"
"Cd52",0,1.94290821224208,0.985,0.404,0,"Cd52"
"Csf3r",0,5.93860018196327,0.613,0.034,0,"Csf3r"
"Itgam",0,3.63413994490258,0.671,0.101,0,"Itgam"
"Fxyd5",0,2.59555676951405,0.861,0.292,0,"Fxyd5"
"Ccr1",0,4.80963478028721,0.604,0.043,0,"Ccr1"
"Coro1a",0,1.80164153438657,0.876,0.316,0,"Coro1a"
"Wfdc21",0,6.40299267477573,0.563,0.009,0,"Wfdc21"
"Lcn2",0,6.08351061877778,0.588,0.035,0,"Lcn2"
"Lsp1",0,1.94156232345346,0.801,0.249,0,"Lsp1"
"Slc7a11",0,5.51659452862687,0.581,0.029,0,"Slc7a11"
"Srgn",0,3.16866189743612,0.943,0.396,0,"Srgn"
"Il1r2",0,6.49428392058023,0.563,0.017,0,"Il1r2"
"Mcemp1",0,4.71873365373182,0.597,0.051,0,"Mcemp1"
"Ncf2",0,3.1185073773072,0.688,0.145,0,"Ncf2"
"Spi1",0,2.36349315796267,0.715,0.183,0,"Spi1"
"Plek",0,2.77853787382896,0.74,0.213,0,"Plek"
"Tnfaip2",0,4.35344253723594,0.656,0.129,0,"Tnfaip2"
"Lyz2",0,1.45918018560539,0.762,0.238,0,"Lyz2"
"Pilra",0,4.59646512382545,0.57,0.046,0,"Pilra"
"Lilrb4a",0,2.8275656115427,0.652,0.136,0,"Lilrb4a"
"Lilr4b",0,3.85653042307312,0.591,0.079,0,"Lilr4b"
"Lyst",0,3.35299297939621,0.687,0.177,0,"Lyst"
"Samsn1",0,2.98229576836056,0.63,0.126,0,"Samsn1"
"Cxcl2",0,4.86575483577103,0.55,0.055,0,"Cxcl2"
"Cyba",0,1.57067083390534,0.899,0.408,0,"Cyba"
"Nfam1",0,3.54520207431191,0.57,0.084,0,"Nfam1"
"Lmnb1",0,3.4997058362815,0.601,0.117,0,"Lmnb1"
"Vasp",0,2.66160464653063,0.732,0.252,0,"Vasp"
"Ptgs2",0,5.16104046463357,0.521,0.047,0,"Ptgs2"
"Sorl1",0,2.78762540994247,0.703,0.234,0,"Sorl1"
"Stk17b",0,2.03725382002753,0.725,0.257,0,"Stk17b"
"Itgb2",0,2.68377803607105,0.602,0.139,0,"Itgb2"
"Cd44",0,3.2058957500717,0.586,0.128,0,"Cd44"
"Grina",0,3.34745731376289,0.598,0.149,0,"Grina"
"Cd33",0,3.86399522594617,0.501,0.056,0,"Cd33"
"Gda",0,3.49192796136514,0.552,0.11,0,"Gda"
