"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"Isg15",1.76707138505802e-147,4.44485809225021,0.704,0.093,4.44047368351229e-143,"Isg15"
"Bst2",4.44876537786969e-126,3.44036644499934,0.681,0.119,1.11793025180488e-121,"Bst2"
"Zbp1",8.24166543536718e-119,3.57228619619801,0.611,0.072,2.07104810725342e-114,"Zbp1"
"Stat1",1.0656091091468e-117,2.64213414281381,0.729,0.169,2.67776913037498e-113,"Stat1"
"Irf7",5.69008175754915e-115,3.58773910078568,0.593,0.062,1.42986064485453e-110,"Irf7"
"Rps21",1.25467002135442e-112,-0.83143345266387,0.997,1,3.15286029666153e-108,"Rps21"
"Obp1a",4.10002213831342e-108,3.37924510867213,0.623,0.087,1.03029456313678e-103,"Obp1a"
"Rps27",2.18699753323951e-107,-0.863851645747537,0.999,1,5.49570610127755e-103,"Rps27"
"Ms4a4b",8.0945339390696e-106,1.79128268112114,0.878,0.52,2.0340754335488e-101,"Ms4a4b"
"Trim30a",1.62622082709865e-105,2.86664365201028,0.633,0.115,4.08653031641619e-101,"Trim30a"
"Mt1",6.57901615761455e-104,-1.90585430442684,0.216,0.768,1.65324097024696e-99,"Mt1"
"Ifi209",1.0372184154928e-103,2.9250912838904,0.623,0.11,2.60642615629186e-99,"Ifi209"
"Stoml3",1.4784254510217e-100,-1.92886388248984,0.188,0.727,3.71513531587243e-96,"Stoml3"
"Ifit1",2.7655989389918e-99,6.54030842333854,0.448,0.009,6.94967357379248e-95,"Ifit1"
"Rps15a",3.2023357862346e-98,-0.72832543004116,1,1,8.04714959722892e-94,"Rps15a"
"Ifit3",1.59370946960245e-97,5.68781366698415,0.451,0.014,4.00483252616399e-93,"Ifit3"
"Rpl37a",3.59884957738272e-97,-0.726040424828775,0.999,1,9.04354910300505e-93,"Rpl37a"
"Usp18",5.86464028938393e-92,5.63038792281662,0.426,0.01,1.47372545831929e-87,"Usp18"
"Map1b",1.99543384972128e-91,-1.90055068757996,0.182,0.686,5.01432572096461e-87,"Map1b"
"Isg20",2.60408240837042e-91,3.68564402842732,0.512,0.064,6.54379868399402e-87,"Isg20"
"Rpl30",9.02096514013385e-90,-0.652609527251254,1,1,2.26687833006423e-85,"Rpl30"
"Gng13",1.39768934850303e-88,-1.75409847623207,0.199,0.703,3.51225356385327e-84,"Gng13"
"Rtp4",2.35875365606221e-88,3.85673942160126,0.448,0.026,5.92731206231872e-84,"Rtp4"
"Rnf213",2.53552894890367e-88,2.85671445915404,0.542,0.084,6.37153069570002e-84,"Rnf213"
"Xaf1",1.83954544156697e-86,3.20605144736135,0.481,0.047,4.62259374011364e-82,"Xaf1"
"Tuba1a",3.95676070354166e-86,-1.74569124243122,0.202,0.693,9.94294397192984e-82,"Tuba1a"
"Rsad2",3.90537970596917e-85,8.66577313094603,0.384,0.002,9.81382866312992e-81,"Rsad2"
"S100a5",6.00136157733167e-83,-1.40972542613412,0.223,0.728,1.50808215076768e-78,"S100a5"
"Ifi27l2a",1.50702935325584e-82,3.11026891202725,0.632,0.172,3.78701406179659e-78,"Ifi27l2a"
"Parp14",2.28269434431106e-82,2.78335761555017,0.537,0.094,5.73618261781927e-78,"Parp14"
"Phf11b",3.01050299434604e-82,3.57628601577744,0.472,0.057,7.56509297449216e-78,"Phf11b"
"Rpl39",5.29733235422662e-82,-0.738907940133841,0.995,1,1.33116664729361e-77,"Rpl39"
"Mndal",6.44501732091003e-82,1.81846501861392,0.761,0.298,1.61956840257148e-77,"Mndal"
"Gbp7",6.01706254370064e-81,2.32281041209509,0.605,0.143,1.51202764660653e-76,"Gbp7"
"Obp1b",7.41620772121029e-81,2.87649057729559,0.457,0.042,1.86361883826293e-76,"Obp1b"
"Ifi206",1.64120646566282e-80,3.59678515496117,0.439,0.037,4.12418772756409e-76,"Ifi206"
"Ckb",1.77315475793085e-80,-1.71936037414878,0.182,0.654,4.45576059120444e-76,"Ckb"
"Ms4a6b",4.07929028805664e-78,2.07512082645956,0.694,0.255,1.02508485648575e-73,"Ms4a6b"
"Omp",4.88384362884739e-78,-1.68080831740239,0.191,0.66,1.22726106549306e-73,"Omp"
"Cxcl10",7.10264696108546e-78,5.07226359654231,0.44,0.051,1.78482415485116e-73,"Cxcl10"
"Rps29",1.00370395132844e-77,-0.63171540245586,1,1,2.52220765929323e-73,"Rps29"
"Gnal",1.77203900810053e-76,-1.90152011133166,0.162,0.606,4.45295682345582e-72,"Gnal"
"H2-Q7",2.21266257472334e-76,1.33541108371029,0.881,0.523,5.56019978402229e-72,"H2-Q7"
"Rpl35a",2.40559527790731e-75,-0.59892289441926,0.999,1,6.04502037385328e-71,"Rpl35a"
"Ifi203",1.92925574577919e-74,1.95939537640735,0.731,0.311,4.84802676356852e-70,"Ifi203"
"Chmp4b",5.11117559157318e-74,1.59300962228406,0.748,0.263,1.28438731440642e-69,"Chmp4b"
"Slfn2",6.44383728246114e-74,1.65410173257765,0.714,0.265,1.61927187070966e-69,"Slfn2"
"Ifi204",9.8357742986211e-74,7.48546365064115,0.342,0.002,2.4716317235005e-69,"Ifi204"
"Ifit2",1.46875078124125e-71,5.38444391414306,0.354,0.012,3.69082383818114e-67,"Ifit2"
"Rpl38",7.85351569546038e-68,-0.59494834286342,0.997,1,1.97350995911224e-63,"Rpl38"
"9930111J21Rik2",1.29367745568084e-67,2.2750808994448,0.564,0.15,3.25088207838037e-63,"9930111J21Rik2"
"Psmb8",1.03347111848049e-66,1.13597208329494,0.893,0.585,2.59700957362962e-62,"Psmb8"
"Lgals3bp",1.59095510669038e-66,2.25677553637358,0.508,0.105,3.99791108760225e-62,"Lgals3bp"
"B2m",8.88889593031384e-66,0.682301511543327,1,0.996,2.23369065832857e-61,"B2m"
"Tshz2",9.33294059764825e-66,-1.71125925889544,0.17,0.578,2.34527464278303e-61,"Tshz2"
"Sp100",1.02020759414428e-65,1.38245136782279,0.787,0.361,2.56367966332515e-61,"Sp100"
"Slfn8",2.21214809952801e-65,2.71306243743064,0.43,0.062,5.55890695930394e-61,"Slfn8"
"Oasl2",3.74989901025865e-65,5.5978150803291,0.316,0.006,9.42312122287895e-61,"Oasl2"
"Samd9l",4.87718771044354e-65,1.96945865119127,0.576,0.166,1.22558849975736e-60,"Samd9l"
"Herc6",5.75953656956811e-65,2.91327759494289,0.407,0.052,1.44731394456677e-60,"Herc6"
"Ifi213",5.95491048534405e-65,3.04199400273849,0.399,0.046,1.49640945586211e-60,"Ifi213"
"Ifi214",7.65331984953748e-65,4.01345124758259,0.356,0.026,1.92320274499027e-60,"Ifi214"
"Eif2ak2",1.58885120306122e-64,2.71747960347821,0.441,0.072,3.99262418817254e-60,"Eif2ak2"
"App",6.85401019599647e-64,-1.57708361630907,0.2,0.595,1.72234422215195e-59,"App"
"Ifi208",2.47245857257522e-63,2.75209622096041,0.427,0.067,6.21304114702427e-59,"Ifi208"
"Rps28",3.7990143531692e-63,-0.705962079209065,0.987,1,9.54654316807888e-59,"Rps28"
"Parp9",7.96884789516678e-63,2.65392985370427,0.419,0.061,2.00249178757646e-58,"Parp9"
"Fstl5",9.79937542925935e-63,-1.85611862467272,0.145,0.532,2.46248505161858e-58,"Fstl5"
"Rpl23",6.21689912233185e-62,-0.546361243366284,1,1,1.56224458045077e-57,"Rpl23"
"Slfn5",6.9594233628571e-61,3.59430090167454,0.392,0.057,1.74883349685236e-56,"Slfn5"
"Gm42418",1.00698987486337e-60,1.36078855351266,0.987,0.99,2.53046485654417e-56,"Gm42418"
"Tap1",1.41835752967688e-60,1.92192646395757,0.509,0.117,3.56419063632504e-56,"Tap1"
"Trim12c",8.01056800766363e-60,1.98540444569469,0.501,0.116,2.01297563464579e-55,"Trim12c"
"Ly6a",9.96863610770471e-60,2.46326249351023,0.515,0.141,2.50501856750512e-55,"Ly6a"
"Psme1",2.21057306006571e-59,1.05718904621108,0.872,0.539,5.55494904263911e-55,"Psme1"
"Gm20559",5.53485338619298e-58,2.08147821726863,0.469,0.1,1.39085330741643e-53,"Gm20559"
"Smchd1",6.24901199200668e-58,1.55942064714804,0.672,0.245,1.57031422347136e-53,"Smchd1"
"Sp110",8.95974558971711e-58,1.61856898069541,0.609,0.199,2.25149446924001e-53,"Sp110"
"Samhd1",1.19681987256391e-57,1.95487229250691,0.628,0.242,3.00748865776585e-53,"Samhd1"
"Chga",2.88486010297101e-57,-1.85125442907712,0.136,0.497,7.24936495275585e-53,"Chga"
"Atf5",5.25275650245664e-56,-1.67735506290383,0.161,0.528,1.31996518150233e-51,"Atf5"
"Ms4a4c",5.61551517143931e-56,4.01424865508593,0.338,0.04,1.41112280743099e-51,"Ms4a4c"
"Psmb10",5.83823745043885e-56,1.4597612804883,0.685,0.261,1.46709068892078e-51,"Psmb10"
"Trim30d",9.92080627913653e-56,3.33414785488715,0.327,0.028,2.49299940988422e-51,"Trim30d"
"Rplp2",1.12163456292608e-55,-0.515509710438121,1,1,2.81855549317696e-51,"Rplp2"
"Slfn1",2.20411029191787e-55,3.34948301788939,0.361,0.053,5.53870875256042e-51,"Slfn1"
"Apoe",2.28323892032799e-55,-1.21691359482654,0.204,0.58,5.7375510828922e-51,"Apoe"
"H2-K1",2.57619292102792e-55,0.67346862945786,0.999,0.979,6.47371519125107e-51,"H2-K1"
"AW112010",1.36941751575769e-54,1.21256697137712,0.923,0.753,3.44120927534751e-50,"AW112010"
"Rps23",1.60966228988261e-54,-0.476359892522902,1,1,4.04492036824601e-50,"Rps23"
"Dstn",2.04621173635388e-54,-1.34390003673106,0.244,0.617,5.14192547228366e-50,"Dstn"
"Epcam",3.14036844204963e-54,-1.82955184599618,0.147,0.491,7.89143185802652e-50,"Epcam"
"Gbp6",3.70803024234986e-53,2.70060989872879,0.348,0.044,9.31790919600097e-49,"Gbp6"
"Rps16",4.10603829588943e-53,-0.494233363791789,1,1,1.03180636337405e-48,"Rps16"
"Ddx58",6.33767711652975e-53,1.85087968748131,0.46,0.105,1.59259488261276e-48,"Ddx58"
"H2-T22",2.32080957057325e-52,1.61347427043423,0.607,0.219,5.83196236989351e-48,"H2-T22"
"Cd81",3.61902116841986e-52,-1.44240829510412,0.19,0.541,9.09423829412228e-48,"Cd81"
"Nsg1",4.59946753090159e-52,-1.8051384728771,0.134,0.471,1.15580019584026e-47,"Nsg1"
"Ifi35",7.25647866226816e-52,2.03243580837808,0.427,0.089,1.82348052304137e-47,"Ifi35"
"Gbp9",1.17957243261325e-51,2.51697930021353,0.369,0.058,2.96414756591384e-47,"Gbp9"
"Epsti1",1.21076763409573e-51,1.33063067881946,0.728,0.363,3.04253798771916e-47,"Epsti1"
"Rpl34",3.35836415976851e-51,-0.45881639420907,0.999,1,8.43923329708229e-47,"Rpl34"
"H2-T23",9.66837939074363e-51,1.2657090277748,0.737,0.354,2.42956705709997e-46,"H2-T23"
"Rps8",5.33904520795313e-50,-0.471504134443268,1,1,1.34164867030654e-45,"Rps8"
"Oas3",6.0264419279748e-50,4.03502078101266,0.264,0.01,1.51438459208079e-45,"Oas3"
"Arl6ip5",8.55922831154262e-50,1.53940493847726,0.499,0.131,2.15084848240754e-45,"Arl6ip5"
"Rpl22",1.1532647867258e-49,-0.591092334673831,0.984,1,2.89803908256327e-45,"Rpl22"
"Ifih1",1.631576063055e-49,4.09875617516816,0.269,0.014,4.0999874888509e-45,"Ifih1"
"Shisa5",2.06610150177806e-49,0.820161892077873,0.921,0.719,5.1919064638181e-45,"Shisa5"
"Ehd4",2.67590940323186e-49,2.69149977002218,0.331,0.043,6.72429273938133e-45,"Ehd4"
"Plac8",3.50151729560212e-49,3.18383624889843,0.428,0.126,8.79896281211856e-45,"Plac8"
"Gbp4",3.69468732220451e-49,1.88073288056606,0.451,0.111,9.28437977196772e-45,"Gbp4"
"Ifi47",7.65344693573624e-49,1.6751407754393,0.544,0.182,1.92323468048116e-44,"Ifi47"
"Atpif1",3.93770845802316e-48,-0.920043369267072,0.44,0.754,9.8950675841664e-44,"Atpif1"
"Gfy",8.69391450323861e-48,-1.72030491228156,0.139,0.457,2.18469377551883e-43,"Gfy"
"Tspo",1.47020998236316e-47,0.976956995892682,0.873,0.539,3.69449066468038e-43,"Tspo"
"Fau",1.79820387692587e-47,-0.366038933368817,1,1,4.51870652232701e-43,"Fau"
"Gbp2",4.56984026808979e-47,2.88225859312949,0.332,0.052,1.14835516096828e-42,"Gbp2"
"Eef1a1",7.23572394394269e-47,-0.422818923463129,1,1,1.81826506987336e-42,"Eef1a1"
"Rpl21",7.33004876793013e-47,-0.476160523076113,0.999,1,1.84196795489316e-42,"Rpl21"
"Igtp",8.44493085887362e-47,2.33142773068458,0.383,0.082,2.12212667552635e-42,"Igtp"
