"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gm42418",5.97046270743512e-133,2.51364069342653,0.992,0.997,1.50031757375137e-128
"Gbp2",1.57971410800262e-113,5.15831728406026,0.53,0.05,3.96966358199979e-109
"Zbp1",6.31081395628429e-97,3.10684920778742,0.578,0.109,1.58584443907468e-92
"AW112010",3.52321798176971e-88,2.89513745460867,0.695,0.261,8.85349446638911e-84
"Ccl5",3.69945395777556e-87,3.68955413800612,0.428,0.035,9.29635785049422e-83
"Cfb",1.05128527245207e-76,4.62927911960923,0.38,0.031,2.6417747611448e-72
"Cxcl9",3.39872929431164e-75,8.0782873375989,0.32,0.005,8.54066684367571e-71
"Fgl2",2.07839024708983e-74,2.26355913662739,0.637,0.217,5.22278685191202e-70
"Cd274",1.58610261125565e-72,4.20952510702084,0.379,0.037,3.98571725182432e-68
"Isg15",3.48853109962072e-72,3.65282789158796,0.601,0.197,8.7663298002369e-68
"Iigp1",6.33231524036828e-71,3.83368588264212,0.394,0.048,1.59124749675215e-66
"Ifi205",2.8136030448446e-70,5.14196170606041,0.325,0.015,7.07030309138998e-66
"Ifi47",9.45375572005985e-69,2.86782980528745,0.486,0.108,2.37563427489384e-64
"Ms4a4c",1.54512069067155e-68,2.81399599096281,0.529,0.146,3.88273378358853e-64
"H2-Q7",1.84250064697319e-68,2.33981730394994,0.509,0.115,4.63001987577892e-64
"Ly6c2",1.09089455141421e-67,3.13855261127402,0.399,0.054,2.74130891824878e-63
"Ly6a",2.91471743925336e-67,2.62407094814768,0.523,0.141,7.32439345309978e-63
"Il1rn",1.14304849097275e-66,4.34101057178546,0.401,0.063,2.87236655296543e-62
"Tap1",3.17185488365188e-66,2.15729643435209,0.526,0.132,7.97055413712882e-62
"Irf7",1.44808380733941e-65,2.52203382550757,0.548,0.165,3.63888979946319e-61
"Samhd1",9.92871428688668e-65,2.08820611066794,0.722,0.329,2.49498661315176e-60
"Tspo",1.48638982731608e-63,1.79901730548847,0.79,0.447,3.73514899706258e-59
"Gbp4",1.46778903578011e-62,4.2290242725778,0.302,0.016,3.68840706801185e-58
"Stat1",1.93777867568876e-62,1.99938380206262,0.602,0.217,4.86944403413827e-58
"Fcgr4",2.17963830946192e-62,2.48504186733669,0.517,0.15,5.47721310784686e-58
"Tapbp",2.26824665209086e-62,1.6665299323899,0.684,0.262,5.69987701203913e-58
